page,route_header,source,destination,total_stations,intermediate_stations
463,71 Budapest — Vácrátót — Vác,Budapest,Vác,3,['Vácrátót']
464,71 Budapest — Vácrátót — Vác,Budapest,Vác,3,['Vácrátót']
465,71 Vác — Vácrátót — Budapest,Vác,Budapest,3,['Vácrátót']
466,71 Vác — Vácrátót — Budapest,Vác,Budapest,3,['Vácrátót']
467,71 Vác — Vácrátót — Budapest,Vác,Budapest,3,['Vácrátót']
468,75 Vác — Balassagyarmat,Vác,Balassagyarmat,2,[]
469,75 Vác — Balassagyarmat,Vác,Balassagyarmat,2,[]
470,75 Balassagyarmat — Vác,Balassagyarmat,Vác,2,[]
471,75 Balassagyarmat — Vác,Balassagyarmat,Vác,2,[]
472,77 Galgamácsa — Vácrátót[— Vác],Galgamácsa,Vác,3,['Vácrátót[']
472,78 Aszód — Balassagyarmat — Ipolytarnóc,Aszód,Ipolytarnóc,3,['Balassagyarmat']
473,77 Galgamácsa — Vácrátót[— Vác],Galgamácsa,Vác,3,['Vácrátót[']
473,78 Aszód — Balassagyarmat — Ipolytarnóc,Aszód,Ipolytarnóc,3,['Balassagyarmat']
474,78 Ipolytarnóc — Balassagyarmat — Aszód,Ipolytarnóc,Aszód,3,['Balassagyarmat']
475,78 Ipolytarnóc — Balassagyarmat — Aszód,Ipolytarnóc,Aszód,3,['Balassagyarmat']
510,80 Sátoraljaújhely — Szerencs — Miskolc — Hatvan[— Budapest],Sátoraljaújhely,Budapest,5,"['Szerencs', 'Miskolc', 'Hatvan[']"
512,80 Sátoraljaújhely — Szerencs — Miskolc — Hatvan[— Budapest],Sátoraljaújhely,Budapest,5,"['Szerencs', 'Miskolc', 'Hatvan[']"
514,80 Sátoraljaújhely — Szerencs — Miskolc — Hatvan[— Budapest],Sátoraljaújhely,Budapest,5,"['Szerencs', 'Miskolc', 'Hatvan[']"
516,80 Sátoraljaújhely — Szerencs — Miskolc — Hatvan[— Budapest],Sátoraljaújhely,Budapest,5,"['Szerencs', 'Miskolc', 'Hatvan[']"
518,80 Sátoraljaújhely — Szerencs — Miskolc — Hatvan[— Budapest],Sátoraljaújhely,Budapest,5,"['Szerencs', 'Miskolc', 'Hatvan[']"
520,80 Sátoraljaújhely — Szerencs — Miskolc — Hatvan[— Budapest],Sátoraljaújhely,Budapest,5,"['Szerencs', 'Miskolc', 'Hatvan[']"
522,80 Sátoraljaújhely — Szerencs — Miskolc — Hatvan[— Budapest],Sátoraljaújhely,Budapest,5,"['Szerencs', 'Miskolc', 'Hatvan[']"
524,80 Sátoraljaújhely — Szerencs — Miskolc — Hatvan[— Budapest],Sátoraljaújhely,Budapest,5,"['Szerencs', 'Miskolc', 'Hatvan[']"
526,80 Sátoraljaújhely — Szerencs — Miskolc — Hatvan[— Budapest],Sátoraljaújhely,Budapest,5,"['Szerencs', 'Miskolc', 'Hatvan[']"
