id,name,city,country,operator,source,latitude,longitude
wd_Q22056398,Aranyosapáti megállóhely,Aranyosapáti,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,48.211426,22.253548
wd_Q19570095,Aranyvölgy megállóhely,Budapest III. kerülete,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.575,19.014167
wd_Q31190724,Artézi fürdő metróállomás,Budapest,Hungary,,Wikidata,47.5174,19.0808
wd_Q779210,Astoria,Budapest,Hungary,,Wikidata,47.494444444,19.06
wd_Q22071387,Aszaló megállóhely,Aszaló,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,48.220105,20.96178
wd_Q21877015,Aszód vasútállomás,Aszód,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.647775,19.492439
wd_Q22091786,Aszófő vasútállomás,Aszófő,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.925444444,17.832483333
wd_Q22222643,Attala megállóhely,Attala,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.368658333,18.067452777
005510009,BUDAPEST*,Budapest,Hungary,MÁV,known_stations,,
005513007,BUDAPEST-DÉLI,Budapest,Hungary,MÁV,known_stations,,
005513005,BUDAPEST-KELETI,Budapest,Hungary,MÁV,known_stations,,
005513006,BUDAPEST-NYUGATI,Budapest,Hungary,MÁV,known_stations,,
wd_Q22003647,Babócsa vasútállomás,Babócsa,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.028391,17.342501
wd_Q22092254,Badacsony megállóhely,Badacsonytomaj,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.788463888,17.506477777
wd_Q22092250,Badacsonylábdihegy megállóhely,Badacsonytördemic,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.790669444,17.474119444
wd_Q22092253,Badacsonytomaj vasútállomás,Badacsonytomaj,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.804641666,17.518166666
wd_Q22092255,Badacsonytördemic-Szigliget vasútállomás,Badacsonytördemic,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.809841666,17.468997222
wd_Q22092251,Badacsonyörs megállóhely,Badacsonytomaj,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.806483333,17.529894444
wd_Q21877013,Bag megállóhely,Bag,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.641183,19.471777
wd_Q22061490,Bagimajor megállóhely,Kengyel,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.060255555,20.315697222
wd_Q22115855,Bagod megállóhely,Bagod,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.874972222,16.746013888
wd_Q21877059,Baja vasútállomás,Baja,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.187196,18.957293
wd_Q21998000,Baja-Dunafürdő megállóhely,Baja,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.19313,18.921064
wd_Q114985222,Baja-Dunapart vasútállomás,Baja,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.1835849,18.9272121
wd_Q1028985,Bajcsy-Zsilinszky út,Budapest,Hungary,Budapesti Közlekedési Zrt.,Wikidata,47.499444444,19.055
wd_Q2414439,Bajza utca,Budapest VI. kerülete,Hungary,Budapesti Közlekedési Zrt.,Wikidata,47.511111111,19.072222222
wd_Q22115940,Bajánsenye megállóhely,Bajánsenye,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.818097222,16.358091666
wd_Q22116527,Bak vasútállomás,Bak,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.732013888,16.8492
wd_Q26833612,Bakonybánk megállóhely,Bakonybánk,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.471605555,17.913830555
wd_Q21876818,Bakonygyirót megállóhely,Bakonygyirót,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.41611,17.811788
wd_Q21876821,Bakonypéterd megállóhely,Bakonypéterd,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.474062,17.804966
wd_Q21876810,Bakonyszentlászló vasútállomás,Bakonyszentlászló,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.396032,17.817652
wd_Q26831275,Bakonyszombathely megállóhely,Bakonyszombathely,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.479802777,17.950155555
wd_Q21996835,Bakonysárkány vasútállomás,Bakonysárkány,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.443936,18.103187
wd_Q26833677,Bakonytamási megállóhely,Bakonytamási,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.414327777,17.723302777
wd_Q22056073,Baktalórántháza vasútállomás,Baktalórántháza,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.988572,22.083416
wd_Q22116537,Baktüttös megállóhely,Baktüttös,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.690738888,16.824716666
wd_Q17299303,Balassagyarmat vasútállomás,Balassagyarmat,Hungary,MÁV Pályaműködtetési Zrt.,Wikidata,48.071388888,19.293611111
wd_Q22091908,Balatonakali-Dörgicse vasútállomás,Balatonakali,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.879783333,17.748061111
wd_Q22091058,Balatonakarattya megállóhely,Balatonakarattya,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.017394444,18.167788888
wd_Q21877030,Balatonaliga vasútállomás,Balatonvilágos,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.984322222,18.170758333
wd_Q22091065,Balatonalmádi vasútállomás,Balatonalmádi,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.028319444,18.015044444
wd_Q22091781,Balatonarács megállóhely,Balatonfüred,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.962527777,17.897538888
wd_Q21877052,Balatonberény megállóhely,Balatonberény,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.713758333,17.317225
wd_Q21877044,Balatonboglár vasútállomás,Balatonboglár,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.776069444,17.647241666
wd_Q22117172,Balatonederics vasútállomás,Balatonederics,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.802597222,17.384488888
wd_Q22222762,Balatonfenyves GV vasútállomás,Balatonfenyves,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.712463888,17.479483333
wd_Q21877049,Balatonfenyves alsó megállóhely,Balatonfenyves,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.708288888,17.453838888
wd_Q21877048,Balatonfenyves vasútállomás,Balatonfenyves,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.713588888,17.482625
wd_Q21877039,Balatonföldvár megállóhely,Balatonföldvár,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.853280555,17.879888888
wd_Q22091782,Balatonfüred vasútállomás,Balatonfüred,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.956094444,17.883091666
wd_Q22091050,Balatonfőkajár felső megállóhely,Balatonfőkajár,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.031166666,18.214247222
wd_Q114985230,Balatonfőkajár megállóhely,Balatonfőkajár,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.0135432,18.2034928
wd_Q22091062,Balatonfűzfő vasútállomás,Balatonfűzfő,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.059866666,18.0426
wd_Q22117174,Balatongyörök megállóhely,Balatongyörök,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.751966666,17.354213888
wd_Q22091060,Balatonkenese vasútállomás,Balatonkenese,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.032511111,18.105494444
wd_Q57315256,Balatonkeresztúr vasútállomás,Balatonkeresztúr,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.703816666,17.368713888
wd_Q21877042,Balatonlelle felső vasútállomás,Balatonlelle,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.794719444,17.720105555
wd_Q21877043,Balatonlelle megállóhely,Balatonlelle,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.787544444,17.694533333
wd_Q21877051,Balatonmáriafürdő vasútállomás,Balatonmáriafürdő,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.704208333,17.375255555
wd_Q22092243,Balatonrendes megállóhely,Balatonrendes,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.825497222,17.584077777
wd_Q21877041,Balatonszemes vasútállomás,Balatonszemes,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.811913888,17.776508333
wd_Q21876861,Balatonszentgyörgy vasútállomás,Balatonszentgyörgy,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.692616666,17.28885
wd_Q114985241,Balatonszentmihály megállóhely,Balatongyörök,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.7544473,17.3339313
wd_Q22091808,Balatonszepezd megállóhely,Balatonszepezd,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.851169444,17.663286111
wd_Q21877040,Balatonszárszó vasútállomás,Balatonszárszó,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.832080555,17.830355555
wd_Q21877035,Balatonszéplak alsó megállóhely,Zamárdi,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.891858333,17.993288888
wd_Q21877034,Balatonszéplak felső megállóhely,Siófok,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.897944444,18.018027777
wd_Q22091897,Balatonudvari megállóhely,Balatonudvari,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.904611111,17.807705555
wd_Q22119579,Balatonvilágos megállóhely,Balatonvilágos,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.963852777,18.157555555
wd_Q57315257,Balatonújlak megállóhely,Balatonújlak,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.675205555,17.397541666
wd_Q116978576,Balffürdő megállóhely,Sopron,Hungary,Győr–Sopron–Ebenfurti Vasút,Wikidata,47.644067,16.6543341
wd_Q131169453,Balinka vasútállomás,Balinka,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.319519,18.154175
wd_Q116978577,Balkány megállóhely,,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.771501,21.848971
wd_Q22669712,Ballószög megállóhely,Ballószög,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.857480555,19.571488888
wd_Q22076180,Balmazújváros vasútállomás,Balmazújváros,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.613869444,21.347963888
wd_Q22031445,Balotaszállás vasútállomás,Balotaszállás,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.349329,19.533122
